airport_name,rank,capacity,latitude,longitude,year,airport_code
北京首都,1,65375095,40.084152,116.592735,2009,PEK
广州白云,2,37048712,23.392429,113.298698,2009,CAN
上海浦东,3,31921009,31.14337,121.805199,2009,PVG
上海虹桥,4,25078548,31.196099,121.339766,2009,SHA
深圳宝安,5,24486406,22.63925,113.8106,2009,SZX
成都双流,6,22637762,30.57852,103.946999,2009,CTU
昆明巫家坝,7,18944716,25.101944,102.929169,2009,KMG
西安咸阳,8,15294948,34.438157,108.764819,2009,XIY
杭州萧山,9,14944716,30.2295,120.434402,2009,HGH
重庆江北,10,14038045,29.71921,106.641602,2009,CKG
厦门高崎,11,11327870,24.544029,118.127701,2009,XMN
武汉天河,12,11303767,30.783751,114.208099,2009,WUH
长沙黄花,13,11284282,28.196667,113.220833,2009,CSX
南京禄口,14,10837222,31.742041,118.862,2009,NKG
青岛流亭,15,9660129,36.266102,120.374397,2009,TAO
大连周水子,16,9550365,38.96566,121.538597,2009,DLC
海口美兰,17,8390478,19.934851,110.4589,2009,HAK
三亚凤凰,18,7941345,18.302891,109.412201,2009,SYX
沈阳桃仙,19,7504828,41.639839,123.483398,2009,SHE
郑州新郑,20,7342427,34.519669,113.840797,2009,CGO
乌鲁木齐地窝堡,21,6575375,43.907101,87.474243,2009,URC
哈尔滨太平,22,6558796,45.623402,126.250298,2009,HRB
济南遥墙,23,5852871,36.857208,117.215897,2009,TNA
天津滨海,24,5780281,39.124352,117.3461,2009,TSN
贵阳龙洞堡,25,5687652,26.538521,106.800697,2009,KWE
福州长乐,26,5451196,25.935061,119.6632,2009,FOC
桂林两江,27,5319362,25.2181,110.039101,2009,KWL
温州永强,28,4821527,27.91222,120.851898,2009,WNZ
太原武宿,29,4632179,37.746891,112.628403,2009,TYN
南宁吴圩,30,4520212,22.608259,108.172401,2009,NNG
宁波栎社,31,4031447,29.826679,121.461899,2009,NGB
南昌昌北,32,3937897,28.865,115.900002,2009,KHN
长春龙嘉,33,3878416,43.996208,125.685303,2009,CGQ
合肥骆岗,34,3205694,31.986345,116.970474,2009,HFE
呼和浩特白塔,35,2898661,40.853503,111.826381,2009,HET
兰州中川,36,2861507,36.51524,103.620697,2009,LHW
银川河东,37,2305930,38.322769,106.393303,2009,INC
丽江三义,38,2295323,26.683332,100.25,2009,LJG
无锡硕放,39,2217932,31.492889,120.424377,2009,WUX
烟台莱山,40,2094804,37.657223,120.987221,2009,YNT
西双版纳嘎洒,41,1942323,21.972467,100.76475,2009,JHG
九寨黄龙,42,1749316,32.851353,103.685263,2009,JZH
泉州晋江,43,1655986,24.794776,118.593069,2009,JJN
北京南苑,44,1607595,39.78279877,116.3880005,2009,NAY
西宁曹家堡,46,1351759,36.525322,102.037537,2009,XNN
石家庄正定,47,1320241,38.274376,114.694427,2009,SJW
张家界荷花,49,1201976,29.101431,110.447943,2009,DYG
拉萨贡嘎,50,1121613,29.29777,90.911942,2009,LXA
包头二里半,51,1070122,40.55999,109.996902,2009,BAV
延吉朝阳川,52,808256,42.885662,129.439362,2009,YNJ
威海大水泊,53,675451,37.185852,122.234969,2009,WEH
宜昌三峡,54,657507,30.556473,111.479942,2009,YIH
榆林榆阳,55,631769,38.358264,109.599254,2009,UYN
常州奔牛,59,535198,31.91972,119.778603,2009,CZX
台州路桥,61,526738,28.559344,121.430963,2009,HYN
徐州观音,62,511469,34.052925,117.554077,2009,XUZ
运城张孝,63,506642,35.116669,111.039719,2009,YCU
北海福成,64,505440,21.53944,109.2938,2009,BHY
恩施许家坪,65,472839,30.320278,109.485001,2009,ENH
鄂尔多斯伊金霍洛,66,472656,39.495789,109.867412,2009,DSN
舟山普陀山,67,447956,29.932602,122.364994,2009,HSN
德宏芒市,69,380265,24.399322,98.532412,2009,LUM
西昌青山,70,374504,27.983669,102.186692,2009,XIC
长治王村,71,340613,36.247454,113.131759,2009,CIH
柳州白莲,72,309354,24.204142,109.398889,2009,LZH
临沂沐埠岭,73,301341,35.046112,118.411667,2009,LYI
连云港白塔埠,74,291059,34.571659,118.873596,2009,LYG
黄山屯溪,75,285179,29.730427,118.261088,2009,TXN
绵阳南郊,76,280903,31.428986,104.743592,2009,MIG
牡丹江海浪,78,260063,44.52,129.559998,2009,MDG
腾冲驼峰,79,257637,24.939379,98.482025,2009,TCZ
景德镇罗家,80,242753,29.336129,117.181706,2009,JDZ
常德桃花源,81,236263,28.91888,111.640198,2009,CGD
洛阳北郊,82,231968,34.741112,112.388298,2009,LYA
迪庆香格里拉,83,221331,27.789482,99.679921,2009,DIG
南通兴东,84,220260,32.072922,120.975601,2009,NTG
宜宾菜坝,85,211197,28.797781,104.550293,2009,YBP
泸州蓝田,88,203567,29.030001,105.470001,2009,LZO
普洱思茅,90,191090,22.79102,100.96042,2009,SYM
赣州黄金,91,189105,25.851667,114.776665,2009,KOW
攀枝花保安营,93,177234,26.534456,101.799265,2009,PZI
佳木斯东郊,95,166048,46.845709,130.470506,2009,JMU
赤峰玉龙,96,165202,42.159704,118.846745,2009,CIF
盐城南洋,97,161682,33.385555,120.125275,2009,YNZ
满洲里西郊,99,146901,49.569633,117.337784,2009,NZH
达州河市,100,144383,31.135012,107.426888,2009,DAX
保山云端,102,136203,25.055182,99.16143,2009,BSD
南阳姜营,103,134135,32.98,112.610001,2009,NNY
齐齐哈尔三家子,106,120384,47.24241,123.924645,2009,NDG
林芝米林,107,119702,29.301565,94.336061,2009,LZY
济宁曲阜,108,119332,35.29364,116.353255,2009,JNG
大庆萨尔图,114,101553,46.748684,125.139725,2009,DQA
丹东浪头,117,88601,40.025551,124.286598,2009,DDG
延安二十里堡,118,86285,36.475595,109.476005,2009,ENY
昌都邦达,123,76780,30.548892,97.111194,2009,BPX
漠河古莲,125,75263,52.918043,122.432117,2009,OHE
怀化芷江,126,72995,27.442036,109.709861,2009,HJJ
南充高坪,128,63727,30.793442,106.168002,2009,NAO
九江庐山,129,62391,29.475421,115.806015,2009,JIU
秦皇岛山海关,130,61721,39.667458,119.067308,2009,SHP
文山普者黑,132,56916,23.556375,104.328079,2009,WNH
白山长白山,133,53386,42.071926,127.609218,2009,NBS
梧州长州岛,134,46663,23.454392,111.253453,2009,WUZ
连城冠豸山,136,43460,25.673066,116.751646,2009,LCX
中卫香山,137,41647,37.573264,105.158118,2009,ZHY
铜仁凤凰,139,37363,27.882209,109.3144,2009,TEN
梅县长岗岌,141,33879,24.268999,116.103996,2009,MXZ
天水麦积山,147,23718,34.558077,105.864711,2009,THQ
布尔津喀纳斯,150,19362,48.222971,87.000724,2009,KJI
广元盘龙,152,16535,32.388634,105.699621,2009,GYS
鸡西兴凯湖,153,15641,45.296389,131.199125,2009,JXA
甘孜康定,157,11165,30.140162,101.741137,2009,KGT
伊春林都,158,10252,27.803333,114.30806,2009,LDS
玉树巴塘,160,7484,32.839466,97.037788,2009,YUS
永州零陵,161,5932,26.338661,111.610046,2009,LLF
长海大长山岛,162,5014,39.267495,122.671891,2009,CNI
佛山沙堤,163,4578,23.080913,113.075983,2009,FUO
安顺黄果树,165,491,26.25699,105.8774,2009,AVA
黔南州荔波,166,151,25.447687,107.966151,2009,LLB
珠海三灶,45,1385858,22.00666,113.376297,2009,ZUH
喀什,56,574485,39.541251,76.024599,2009,KHG
义乌,57,559652,29.344563,120.028809,2009,YIW
武夷山,58,535713,27.698972,118.004959,2009,WUS
湛江,68,396263,21.214439,110.358299,2009,ZHA
库尔勒,77,270657,41.618911,86.138043,2009,KRL
大理,86,210475,25.647097,100.320711,2009,DLU
伊宁,89,202130,43.957321,81.33329,2009,YIN
和田,92,188434,37.038007,79.868983,2009,HTN
阿克苏,94,170488,41.263252,80.293103,2009,AKU
敦煌,98,152610,40.163706,94.807859,2009,DNH
襄樊刘集,101,137335,32.150551,112.290802,2009,XFN
衢州,105,128389,28.962971,118.901832,2009,JUZ
乌海,109,115493,39.794299,106.805038,2009,WUA
临沧,110,114543,23.736707,100.02549,2009,LNJ
