node,node_dc,latitude,longitude,urban_group,air_region,airport_name
PEK,0.887356,40.084152,116.592735,bth,northChina,Beijing Capital International Airport 
PVG,0.772414,31.14337,121.805199,yrd,eastChina,Shanghai Pudong International Airport 
XIY,0.770115,34.438157,108.764819,none,northWest,Xi'an Xianyang International Airport 
CTU,0.721839,30.57852,103.946999,none,southWest,Chengdu Shuangliu International Airport 
CKG,0.696552,29.71921,106.641602,none,southWest,Chongqing Jiangbei International Airport 
CAN,0.675862,23.392429,113.298698,prd,southChina,Guangzhou Baiyun International Airport 
KMG,0.641379,25.101944,102.929169,none,southWest,Kunming Changshui International Airport 
SZX,0.63908,22.63925,113.8106,prd,southChina,Shenzhen Bao'an International Airport 
HGH,0.602299,30.2295,120.434402,yrd,eastChina,Hangzhou Xiaoshan International Airport 
TSN,0.572414,39.124352,117.3461,bth,northChina,Tianjin Binhai International Airport 
HAK,0.526437,19.934851,110.4589,none,southChina,Haikou Meilan International Airport 
CSX,0.510345,28.196667,113.220833,none,central,Changsha Huanghua International Airport 
CGO,0.478161,34.519669,113.840797,none,central,Zhengzhou Xinzheng International Airport 
KWE,0.471264,26.538521,106.800697,none,southWest,Guiyang Longdongbao International Airport 
HRB,0.452874,45.623402,126.250298,none,northEast,Harbin Taiping International Airport 
TAO,0.445977,36.266102,120.374397,none,eastChina,Qingdao Liuting International Airport 
SHE,0.445977,41.639839,123.483398,none,northEast,Shenyang Taoxian International Airport 
DLC,0.441379,38.96566,121.538597,none,northEast,Dalian Zhoushuizi International Airport 
NKG,0.43908,31.742041,118.862,yrd,eastChina,Nanjing Lukou International Airport 
LHW,0.436782,36.51524,103.620697,none,northWest,Lanzhou Zhongchuan International Airport 
XMN,0.436782,24.544029,118.127701,none,southChina,Xiamen Gaoqi International Airport 
WUH,0.425287,30.783751,114.208099,none,central,Wuhan Tianhe International Airport 
NNG,0.4,22.608259,108.172401,none,central,Nanning Wuxu International Airport 
TNA,0.390805,36.857208,117.215897,none,eastChina,Jinan Yaoqiang International Airport 
FOC,0.374713,25.935061,119.6632,none,southChina,Fuzhou Changle International Airport 
NGB,0.365517,29.826679,121.461899,yrd,eastChina,Ningbo Lishe International Airport 
SHA,0.358621,31.196099,121.339766,yrd,eastChina,Shanghai Hongqiao International Airport 
SJW,0.337931,38.274376,114.694427,bth,northChina,Shijiazhuang Zhengding International Airport 
HET,0.337931,40.853503,111.826381,none,northChina,Hohhot Baita International Airport 
URC,0.337931,43.907101,87.474243,none,northChina,Urumqi Diwopu International Airport 
SYX,0.335632,18.302891,109.412201,none,none,Sanya Phoenix International Airport 
INC,0.331034,38.322769,106.393303,none,none,Yinchuan Hedong International Airport 
TYN,0.328736,37.746891,112.628403,none,none,Taiyuan Wusu International Airport 
WNZ,0.324138,27.91222,120.851898,none,none,Wenzhou Longwan International Airport 
KHN,0.324138,28.865,115.900002,none,none,Nanchang Changbei International Airport 
NAY,0.31954,39.78279877,116.3880005,bth,none,Beijing Nanyuan Airport 
KWL,0.303448,25.2181,110.039101,none,none,Guilin Liangjiang International Airport 
ZUH,0.289655,22.00666,113.376297,prd,none,Zhuhai Jinwan Airport 
HFE,0.28046,31.986345,116.970474,yrd,none,Hefei Xinqiao International Airport 
YNT,0.273563,37.657223,120.987221,none,none,Yantai Penglai International Airport 
CGQ,0.264368,43.996208,125.685303,none,none,Changchun Longjia International Airport 
XNN,0.257471,36.525322,102.037537,none,none,Xining Caojiabao Airport 
SWA,0.245977,23.5525,116.505836,none,none,Jieyang Chaoshan International Airport 
LJG,0.216092,26.683332,100.25,none,none,Lijiang Sanyi Airport 
JJN,0.206897,24.794776,118.593069,none,none,Quanzhou Jinjiang Airport 
MIG,0.193103,31.428986,104.743592,none,none,Mianyang Nanjiao Airport 
WUX,0.186207,31.492889,120.424377,yrd,none,Wuxi Sunan Shuofang International Airport 
YIH,0.181609,30.556473,111.479942,none,none,Yichang Sanxia Airport 
BAV,0.181609,40.55999,109.996902,none,none,Baotou Erliban Airport 
NTG,0.172414,32.072922,120.975601,yrd,none,Nantong Xingdong Airport 
ZYI,0.172414,27.807552,107.250977,none,none, 
HIA,0.170115,33.788792,119.131102,none,none,Huai'an Lianshui Airport 
DSN,0.165517,39.495789,109.867412,none,none,Dongsheng Ordos Ejin Horo Airport 
XUZ,0.156322,34.052925,117.554077,none,none,Xuzhou Guanyin Airport 
DYG,0.154023,29.101431,110.447943,none,none,Dayong Zhangjiajie Hehua Airport 
ZHA,0.154023,21.214439,110.358299,none,none,Zhanjiang Airport 
BHY,0.151724,21.53944,109.2938,none,none,Beihai Fucheng Airport 
YNZ,0.147126,33.385555,120.125275,yrd,none,Yancheng Nanyang Airport 
WDS,0.144828,32.591667,110.907776,none,none,Shiyan Wudangshan Airport 
XFN,0.142529,32.150551,112.290802,none,none,Xiangyang Liuji Airport 
HLD,0.14023,49.209334,119.830223,none,none,Hailar Hulunbuir Airport 
LYG,0.14023,34.571659,118.873596,none,none,Lianyungang Baitabu Airport 
HUZ,0.137931,23.0497,114.607144,prd,none,Huizhou Pingtan Airport 
JNG,0.137931,35.29364,116.353255,none,none,Jining Qufu Airport 
