flights,departure_lat,departure_lng,arrival_lat,arrival_lng,year,node_dc,urban_group
13887,31.196099,121.339766,40.084152,116.592735,2015,0.358621,yrd
13856,40.084152,116.592735,31.196099,121.339766,2015,0.887356,bth
12785,21.972467,100.76475,25.101944,102.929169,2015,0.085057,none
11629,22.63925,113.8106,31.196099,121.339766,2015,0.63908,prd
11599,31.196099,121.339766,22.63925,113.8106,2015,0.358621,yrd
11517,25.101944,102.929169,21.972467,100.76475,2015,0.641379,none
11463,30.57852,103.946999,40.084152,116.592735,2015,0.721839,none
11419,40.084152,116.592735,30.57852,103.946999,2015,0.887356,bth
10818,23.392429,113.298698,31.196099,121.339766,2015,0.675862,prd
10794,31.196099,121.339766,23.392429,113.298698,2015,0.358621,yrd
10163,22.63925,113.8106,40.084152,116.592735,2015,0.63908,prd
10139,40.084152,116.592735,22.63925,113.8106,2015,0.887356,bth
9298,23.392429,113.298698,40.084152,116.592735,2015,0.675862,prd
9296,40.084152,116.592735,23.392429,113.298698,2015,0.887356,bth
8639,30.57852,103.946999,23.392429,113.298698,2015,0.721839,none
8618,23.392429,113.298698,30.57852,103.946999,2015,0.675862,prd
8266,24.544029,118.127701,31.196099,121.339766,2015,0.436782,none
8260,34.438157,108.764819,40.084152,116.592735,2015,0.770115,none
8230,31.196099,121.339766,24.544029,118.127701,2015,0.358621,yrd
8120,30.2295,120.434402,40.084152,116.592735,2015,0.602299,yrd
8105,40.084152,116.592735,30.2295,120.434402,2015,0.887356,bth
8086,30.2295,120.434402,23.392429,113.298698,2015,0.602299,yrd
8085,23.392429,113.298698,30.2295,120.434402,2015,0.675862,prd
8020,40.084152,116.592735,34.438157,108.764819,2015,0.887356,bth
7989,29.71921,106.641602,23.392429,113.298698,2015,0.696552,none
7987,23.392429,113.298698,29.71921,106.641602,2015,0.675862,prd
7974,40.084152,116.592735,25.101944,102.929169,2015,0.887356,bth
7924,25.101944,102.929169,40.084152,116.592735,2015,0.641379,none
7683,29.71921,106.641602,40.084152,116.592735,2015,0.696552,none
7664,40.084152,116.592735,29.71921,106.641602,2015,0.887356,bth
7267,25.101944,102.929169,23.392429,113.298698,2015,0.641379,none
7249,22.63925,113.8106,30.2295,120.434402,2015,0.63908,prd
7200,30.2295,120.434402,22.63925,113.8106,2015,0.602299,yrd
7034,22.63925,113.8106,29.71921,106.641602,2015,0.63908,prd
7010,29.71921,106.641602,22.63925,113.8106,2015,0.696552,none
6975,38.96566,121.538597,31.14337,121.805199,2015,0.441379,none
6969,31.14337,121.805199,38.96566,121.538597,2015,0.772414,yrd
6850,31.14337,121.805199,41.639839,123.483398,2015,0.772414,yrd
6842,41.639839,123.483398,31.14337,121.805199,2015,0.445977,none
6581,30.57852,103.946999,22.63925,113.8106,2015,0.721839,none
6580,22.63925,113.8106,30.57852,103.946999,2015,0.63908,prd
6542,40.084152,116.592735,45.623402,126.250298,2015,0.887356,bth
6530,45.623402,126.250298,40.084152,116.592735,2015,0.452874,none
6431,23.392429,113.298698,25.101944,102.929169,2015,0.675862,prd
6430,25.101944,102.929169,29.71921,106.641602,2015,0.641379,none
6372,30.57852,103.946999,25.101944,102.929169,2015,0.721839,none
6357,29.71921,106.641602,25.101944,102.929169,2015,0.696552,none
