departure,arrival,flights,departure_lat,departure_lng,arrival_lat,arrival_lng,departure_region,arrival_region,departure_code,arrival_code,departure_EN,arrival_EN
北京,上海,28711,40.084152,116.592735,31.196099,121.339766,华北,华东,northChina,eastChina,Beijing,Shanghai
北京,成都,24349,40.084152,116.592735,30.57852,103.946999,华北,西南,northChina,southWest,Beijing,Chengdu
北京,深圳,22394,40.084152,116.592735,22.63925,113.8106,华北,华南,northChina,southChina,Beijing,Shenzhen
北京,广州,20472,40.084152,116.592735,23.392429,113.298698,华北,华南,northChina,southChina,Beijing,Guangzhou
北京,杭州,18051,40.084152,116.592735,30.2295,120.434402,华北,华东,northChina,eastChina,Beijing,Hangzhou
北京,西安,16577,40.084152,116.592735,34.438157,108.764819,华北,西北,northChina,northWest,Beijing,Xi'an
北京,重庆,16177,40.084152,116.592735,29.71921,106.641602,华北,西南,northChina,southWest,Beijing,Chongqing
北京,昆明,14275,40.084152,116.592735,25.101944,102.929169,华北,西南,northChina,southWest,Beijing,Kunming
北京,哈尔滨,13677,40.084152,116.592735,45.623402,126.250298,华北,东北,northChina,northEast,Beijing,Harbin
北京,乌鲁木齐,11615,40.084152,116.592735,43.907101,87.474243,华北,西北,northChina,northWest,Beijing,Urumqi
哈尔滨,北京,13677,45.623402,126.250298,40.084152,116.592735,东北,华北,northEast,northChina,Harbin,Beijing
哈尔滨,上海,11318,45.623402,126.250298,31.14337,121.805199,东北,华东,northEast,eastChina,Harbin,Shanghai
哈尔滨,青岛,8902,45.623402,126.250298,36.266102,120.374397,东北,华东,northEast,eastChina,Harbin,Qingdao
哈尔滨,济南,7577,45.623402,126.250298,36.857208,117.215897,东北,华东,northEast,eastChina,Harbin,Jinan
哈尔滨,南京,6053,45.623402,126.250298,31.742041,118.862,东北,华东,northEast,eastChina,Harbin,Nanjing
哈尔滨,杭州,5271,45.623402,126.250298,30.2295,120.434402,东北,华东,northEast,eastChina,Harbin,Hangzhou
哈尔滨,烟台,5080,45.623402,126.250298,37.657223,120.987221,东北,华东,northEast,eastChina,Harbin,Yantai
哈尔滨,郑州,4969,45.623402,126.250298,34.519669,113.840797,东北,中部,northEast,central,Harbin,Zhengzhou
哈尔滨,天津,4655,45.623402,126.250298,39.124352,117.3461,东北,华北,northEast,northChina,Harbin,Tianjin
哈尔滨,广州,4216,45.623402,126.250298,23.392429,113.298698,东北,华南,northEast,southChina,Harbin,Guangzhou
西安,北京,16577,34.438157,108.764819,40.084152,116.592735,西北,华北,northWest,northChina,Xi'an,Beijing
西安,广州,14252,34.438157,108.764819,23.392429,113.298698,西北,华南,northWest,southChina,Xi'an,Guangzhou
西安,深圳,11778,34.438157,108.764819,22.63925,113.8106,西北,华南,northWest,southChina,Xi'an,Shenzhen
西安,乌鲁木齐,11429,34.438157,108.764819,43.907101,87.474243,西北,西北,northWest,northWest,Xi'an,Urumqi
