target,source,value
eastChina,Shanghai,28711
southWest,Chengdu,24349
southChina,Shenzhen,22394
southChina,Guangzhou,20472
eastChina,Hangzhou,18051
northWest,Xi'an,16577
southWest,Chongqing,16177
southWest,Kunming,14275
northEast,Harbin,13677
northWest,Urumqi,11615
northChina,Beijing,13677
eastChina,Shanghai,11318
eastChina,Qingdao,8902
eastChina,Jinan,7577
eastChina,Nanjing,6053
eastChina,Hangzhou,5271
eastChina,Yantai,5080
central,Zhengzhou,4969
northChina,Tianjin,4655
southChina,Guangzhou,4216
northChina,Beijing,16577
southChina,Guangzhou,14252
southChina,Shenzhen,11778
northWest,Urumqi,11429
northWest,Yulin,10935
eastChina,Shanghai,10141
northWest,Yinchuan,9871
southWest,Kunming,9346
eastChina,Hangzhou,9046
northWest,Xining,8865
southChina,Shenzhen,34787
northChina,Beijing,33724
southChina,Guangzhou,30995
southWest,Chengdu,23024
southWest,Chongqing,20449
northWest,Xi'an,19043
eastChina,Qingdao,19022
eastChina,Xiamen,18106
northEast,Dalian,15295
northEast,Shenyang,14350
northChina,Beijing,11198
southChina,Haikou,7865
southWest,Chongqing,7135
northWest,Xi'an,6697
eastChina,Shanghai,6648
southWest,Kunming,6499
southWest,Chengdu,6285
eastChina,Xiamen,5955
northChina,Tianjin,5805
southChina,Sanya,5566
northChina,Beijing,24349
southChina,Guangzhou,19290
southChina,Shenzhen,17837
southWest,Kunming,14107
eastChina,Shanghai,12193
eastChina,Shanghai,10831
southWest,Lhasa,10149
eastChina,Hangzhou,10071
eastChina,Nanjing,8059
northWest,Urumqi,7784
eastChina,Shanghai,24879
northChina,Beijing,20472
southWest,Chengdu,19290
eastChina,Hangzhou,17652
southWest,Chongqing,17135
eastChina,Nanjing,14560
northWest,Xi'an,14252
southWest,Kunming,13914
southChina,Haikou,12114
central,Zhengzhou,9230
